question,wrong_choices,correct_answer
"Probability of something in interest rate of XXX?","Financial operation, Mathematical operations, None of these","Statistical operation"
"80% of 700 = __________?","550, 565, none","560"
"P is 5 times as large as Q, the percent that Q is less than P is ____________?","60%, 90%, None of These","80%"
"Who was Blaise Pascal?","English novelist, German physician, Chinese politician","French mathematician"
"If n(U)=60, n(A)= 35, n(B)=24, and n(AUB)’=10 then n(A∩B) is ____________?","10, 8, None of These","9"
"Naeem sold a computer for Rs 25000 at which he suffered 20 Percent loss. Find the purchase price of the computer?","31000, 41250, None of These","31250"
"If a dice is rolled twice then what is the probability that the sum of the number of dots shown is 8?","4/36, 1/12, 1/2","5/36"
"1 inch is equal to ___________ centimeters?","3.2 cm, 1.82 cm, 6.9 cm","2.54 cm"
"What is the Arithmetic Mean of the following data 3,6,9,12,15.","7, 12, 8","9"
"In a certain class the ratio of men to women is 3:5. If the class has 24 people in it, how many are women?","9, 12, 18","15"
"A lorry covers a distance of 100 km in 2 hours 30 minutes. A car runs with a speed of 55 km/hour. Determine the ratio of their speeds.​","20:11, 4:11, None of These","8:11"
"a number exceeds another number by 5.the sum of the numbers is 19. find the smaller number ?","5, 6, 12","7"
"If Arif can read 39 pages of a book in half an hour. How long will It take her to finish a book that is 1287 pages?","16 Hours, 17 Hours, 15.5 Hours","16.5 Hours"
"If Ahmed purchases a Watch for Rs 600 and pays 15% sales tax, the total amount spent on purchase is?","660, 670, 680 E. 700","690"
"A student can solve q questions in 1/h hour. At this rate how many questions can she solve in q hours?","hq, 1/hq, h/q","hq2"
"complete the series: 4.8.9.13.14.18._______?","22, 32, 11","19"
"A person purchases 90 clocks and sells 40 clocks at a gain of 10% and 50 clocks at a gain of 20%. If he sold all of them at a uniform profit of 15%, then he would have got Rs. 40 less. The cost price of each clock is:_________?","Rs.50, Rs.60, Rs.90","Rs.80"
"The cash difference between the selling prices of an article at a profit of 4% and 6% is Rs. 3. The ratio of the two selling prices is:__________?","51:52, 51:53, 52:55","52:53"
"If 5% more is gained by selling an article for Rs. 350 than by selling it for Rs. 340, the cost of the article is:________?","Rs. 50, Rs. 160, Rs. 225","Rs. 200"
"A man buys an article for 10% less than its value and sells it for 10% more than its value. His gain or loss percent is:________?","no profit, no loss, 20% profit, less than 20% profit","more than 20% profit"
"A manufacturer sells a pair of glasses to a wholesale dealer at a profit of 18%. The wholesaler sells the same to retailer at a profit of 20%. The retailer in turn sells them to a customer for Rs. 30.09, there by earning a profit of 25%. The cost price for the manufacturer is:________?","Rs. 15, Rs. 16, Rs. 18","Rs. 17"
"A sells a bicycle to B at a profit of 20%. B sells it to C at a profit of 25%. If C pays Rs. 225 for it, the cost price of the bicycle for A is:________?","Rs. 110, Rs. 120, Rs. 125","Rs. 150"
"A fair price shopkeeper takes 10% profit on his goods. He lost 20% goods during theft. His loss percent is:________?","8, 10, 11","12"
"By mixing two brands of tea and selling the mixture at the rate of Rs. 177 per kg. a shopkeeper makes a profit of 18%. If to every 2 kg of one brand costing Rs. 200 per kg, 3 kg of the other brand is added, then how much per kg does the other brand cost?","Rs. 110, Rs. 120, Rs. 140","None of these"
"Haroon purchased 30 kg of wheat at the rate of Rs. 11.50 per kg and 20 kg of wheat at the rate of 14.25 per kg. He mixed the two and sold the mixture. Approximately what price per kg should be sell the mixture to make 30% profit?","Rs. 14.80, Rs. 15.40, Rs. 15.60 E. Rs. 18.20","Rs. 16.30"
"Which Muslim scientist wrote first book on Algebra ?","Ibn Sina, Archimedes, Euclid","Al-Khwarizmi"
"What’s the largest known Prime Number?","282,589,933 − 3, 282,589,933 − 5, None of these","282,589,933 − 1"
"Find two number whose sum is 28 and the difference is 4 _____________?","18,10, 15,13, 14,12","12,16"
"1 acre is equal to ________square foot?","45434 square foot, 34343 square foot, 43572 square foot","43560 square foot"
"The word Geometry has been derived from two Greek words:_____________?","Geo means Earth, Metron means Measurement., Hence Geomatery means","Earth measurement"
"What is the Sum of First 70 even Numbers?","4950, 4900, 4980","4970"
"What is the Sum of First 70 Odd Numbers?","4970, 4960, None of these","4900"
"Express 1.09 in term of Percentage.","1.09%, 10.9%, None of these","109%"
"Calculate the Average of 1,2,3,4,5.","1, 2, 4","3"
"Find the Missing Number in the series 1, 6, 13, 22, 33 ?","36, 40, 52","46"
"One Gross is equal to___________?","5 Dozen, 10 Dozen, None of them","12 Dozen"
"A jogger running at 9 kmph alongside a railway track in 240 metres ahead of the engine of a 120 metres long train running at 45 kmph in the same direction. In how much time will the train pass the joɡɡer?","3.6 sec, 18 sec, 72 sec","36 sec"
"Three flags each of different colours are available for a military exercise, Using these flags different codes can be generated by waving I. Single flag of different colours II. Any two flags in a different sequence of colours. III. three flags in a different sequence of colours. The maximum number of codes that can be generated is.","6, 9, 18","15"
"Two trains are moving in opposite directions 60 km/hr and 90 km/hr. Their lengths are 1.10 km and 0.9 km respectively. The time taken by the slower train to cross the faster train in seconds is_________?","36, 45, 49","48"
"A train passes a station platform in 36 seconds and a man standing on the platform in 20 seconds. If the speed of the train is 54 km/hr, what is the length of","120, 260, 220","240"
"A train 240 m long passes a pole in 24 seconds. How long will it take to pass a platform 650 m long?","80 Sec, 90 Sec, 95 Sec","89 Sec"
"Co-ordinates of Origin are:___________?","(0,1), (1,1), (1,0)","(0,0)"
"Twelve children take sixteen days to complete a work which can be completed by 8 adults in 12 days. After working for 3 days, sixteen adults left and six adults and four children joined them. How many days will they take to complete the remaining work ?","3 days, 4 days, 8 days","6 days"
"zero is a__________ number?","odd number, even number, None of these","whole number"
"A Quadrillion has _________ zeros?","18 zeros, 21 zeros, None of these","15 zeros"
"Who is known as the Father of Geometry?","kepler, Pythagoras, Newton","Euclid"
"What is 2+2÷2×2-2?","0, -2, 1","2"
"If a > b and b > Then ?","a = b, a ≠ b, None","Cannot be evaluated"
"18 men can eat 20 kg of rice in 3 days. How long will 6 men take to eat 40 kg of rice?","20, 32, 20","18"
"In a fort there is sufficient food for 600 men for a month. If 400 more men arrive the fort then how long the food is sufficient for now?","20 days, 28 days, 36 days","18 days"
