question,wrong_choices,correct_answer
"Identify among the following elements that does NOT belong to VIIA group","Cl, F, Br","N"
"Identify among the following which has Lowest energy of electron in 1st shell.","H, He+¹, Li+²","Be+³"
"4moles of Carbon dioxide(CO2) have _____molecules.","6.02 x 10, 12.04 x 10, 18.06 x 10","24.08 x 10"
"In acidic medium, ____ is used to balance oxygen atoms in an ionic equation.","H+, OH-, O","H2O"
"What is the chemical symbol of “Potassium”?","P, Po, Pt","K"
"If heat is to be supplied continuously to a liquid at its boiling point, the temperature remains constant because:","Extra heat is spread in the air, The forces of attractions become stronger, The vapour pressure of the boiling liquid becomes greater than the external pressure","High energy molecules continuously leaving the surface of liquid"
"The strongest hydrogen bonding is present in: _____________?","Ammonia gas, Ethanol, Acetone and chloroform","Ice"
"Ionic solids do not conduct the electrical current because:","The coordination number of ion is very high, Free electrons are less, Strong covalent bonds are present in their structure","Ions don’t have translatory motion"
"Evaporation is_____________?","Endothermic Reaction, Surface Process, Continuous Process","All of these."
"2-Butyne contains:______________?","sp hybridised carbon atoms only, sp hybridised carbon atoms only, both sp and sp hybridised carbon atoms E. All types of carbons with sp,sp,Sp","both sp and sp hybridised carbon atoms"
"The acetylene molecule contains:___________?","5 sigma bonds, 4 sigma and 1 pi bonds, 2 sigma and 3 pi bonds","3 sigma and 2 pi bonds"
"Identify the unsaturated compound that does not give red ppts when treated with____________Ammonical cuprous chloride","CH-CH-CCH (1-Butyne), CH-CCH(1-Propyne), CH-CH-CHCCH(1-Pentyne)","CH=CH"
"In the presence of Zn, Hydrolysis of ozonide of 1-butene gives:_____________?","Ethylene only, Acetaldehyde and Formaldehyde, Acetaldehyde only E. Acetaldehyde and Oxalic acid","Propionaldehyde and Formaldehyde"
"An organic compound has a triple bond and not double bonIt can be tested by __________?","Bromine water, Bayer’s reagent, Fehling solution","Ammonical silver nitrate"
"Which of the following has acidic hydrogen?","Ethene, Ethane, Benzene","Ethyne"
"Ozonolysis of acetylene gives:","Glycol, Formaldehyde, None","Glyoxal then formic acid"
"Product formed when 2-pentyne reacts with ozone in the absence of Zinc is __________?","CHCHCHO + CHCHO, CHCHCHO + CHCOOH, CHCOOH + CO","CHCHCOOH + CHCOOH"
"O3 reacts with C2H4 to form ozonide, while on further hydrolysis it forms _________?","Ethylene oxide, Ethylene glycol, Ethyl alcohol","HCHO"
"Position of double bond in an organic compound is determined by ___________?","Oxidation, Reduction, Hydrogenation","Ozonolysis"
"At higher temperature, Ethyne on reaction with water in the presence of HgSO4 and H2SO4 gives:","Acetone, Acetic acid, Ethyl alcohol","Acetaldehyde"
"Which of the following gases is used for welding?","Methane, Ethane, Ethene","Acetylene"
"The compound C3H4 has a triple bond, which is indicated by its reaction with____________?","Bromine water, Bayer’s reagent, Fehling solution","Ammonical silver nitrate"
"Acetylene gives:","White precipitate with CuCl and red precipitate with AgNO, White precipitate with both the reagents, Red precipitate with both the reagents","White precipitate with AgNO and red precipitate with CuCl"
"Which of the following is a neutral particle ?","Alpha particle, Electron, Proton E. All of these","Neutron"
"Coinage metals are actually_________?","Alkali metals, Halogens, Alkaline earth metals","Transition metals"
"The marsh gas is ___________?","Ethane, Propane, Butane","Methane"
"The blotting paper helps observe liquid by__________?","Surface Action, Viscosity, Boldness","Capillary Action"
"All members of homologous series have different __________?","chemical properties, functional group, all of them","physical properties"
"The valency of Carbon is _________?","2(Divalent), 3(Trivalent), 1(univalent)","4(Tetravalent)"
"In homologous series there is the difference of mass between adjacent members.","12amu, 18amu, 22amu","14amu"
"Those aliphatic hydrocarbons which contain carbon to carbon single covalent bond in the chain are called ___________?","Alkynes, Alkenes, a & c","Alkanes"
"Polyvinyl acetate is the Polymer of __________?","Vinyl Chloride, Formaldehyde, Methyl methacrylate","Vinyl acetate"
"The general formula for alkenes is:______________?","CnH2n+1, CnH2n+2, CnH2n-2","CnH2n"
"Nucleus of an atom was discovered by___________?","Goldstein, James Chadwick, J J Thomson","Rutherford"
"The subatomic particle that has negative charge is___________?","Proton, Neutron, None of These","Electron"
"The Maximum mass of an atom is present in ___________?","Shell, Energy levels, Orbit","Nucleus"
"The rays that have negative charge are ___________?","Anode Rays, Canal Rays, Gamma Rays","Cathode Rays"
"The heaviest subatomic particle among the following is_________?","Electron, Proton, All have mass","Neutron"
"The salt that gives the aqueous solution with pH less than 7, is called as____________?","Basic salt, Neutral salt, Amphoteric salt","Acidic salt"
"Octane number is 0 value for ___________?","iso-octane, n-hexane, iso-heptane","n-heptane"
"The organic compound used as antiknock agent in petroleum is____________?","TNT, CH MgBr, CH )Hg","(CH )Pb"
"The petrol having octane number 80 has ____________?","80% n- heptane + 20% iso-octane, 20% n- heptane + 80% n-octane, 80% n-heptane + 20% n- octane","20% n- heptane + 80% iso-octane"
"Ethene is the first member of __________?","Saturated hydrocarbon, Aromatic hydrocarbon, None of These","Alkenes Family"
"Identify the Molecular mass for Glucose (C6H12O6) among the following.","190amu, 188amu, 98amu","180amu"
"The molecular formula of Glucose is____________?","NH, CH","CHO"
"The molecular formula of Sucrose(Sugar) is___________?","NH, CH","CHO"
"The molecular formula of Methane gas is___________?","NH, CO","CH"
"The oxidation of secondary alcohol gives ?","alkane, carboxylic acid, Acetylene","ketone"
"If speed of gas molecules increases by twice on heating. What will be their kinetic energy?","increases by two times, decreases by two times, decrease by four times","increases by four times"
"LiAlH4 converts Acetaldehyde into ___________?","Acetic acid, Methane, Methyl alcohol","Ethyl alcohol"
"On oxidation, an alcohol gives an aldehyde having same number of carbon atoms as in alcohol, the alcohol is____","Secondary Alcohol, Tertiary alcohol, None of These","Primary Alcohol"
"An alcohol produced during the formation of a soap process.","Butanol, Ethylene glycol, Ethanol","Glycerol"
"On reduction with LiAlH4 ,Ketone gives__________?","Primary Alcohol, Tertiary alcohol, None of These","Secondary Alcohol"
"Alcohols of lower Molecular weight are _______________?","Insoluble in water, Soluble in water on heating, Insoluble in all solvents","More Soluble in water"
"Identify the Lucas reagent among the following","Dil. HCl & hydrated ZnCl, ConHNO & Anhydrous ZnCl, ConHNO & Anhydrous MgCl","ConHCl & Anhydrous ZnCl"
"Methyl alcohol on oxidation with acidified K2Cr2O7 gives__________?","CH3COOH, CH3CHO, CH3COCH3","HCOOH"
"The reaction of C2H5OH with conH2SO4 does not give_________?","Ethene, Diethyl ether, Ethyl hydrogen sulphate","Acetylene"
"In Periods from Left to right Electronegativity will: _________?","decrease, constant, none of these","increase"
"The number of moles are present in 9.5g of CS2?","1.5, 0.25, None of These","0.125"
"The one mole of _____molecule has the highest number of atoms?","HSO, HClO, O","HCO"
"The theoretical yield is, when % yield and actual yied are 55% and 24g respectively:","40g, 45g, 41.4g","43.6g"
"The maximum amount of product obtained by balanced chemical equation is called as __________?","Practical yield, Actual yield, NOT","Theoretical yield"
"The maximum mass is present in 1dm3 for the following gas at STP.","CH, CO, CO","CS"
"24g of an unknown gas occupied 8.4dm3at STP, Identify the gas among the following","CH, CH","SO"
"Amino acids are a product of the digestion of: ___________?","Carbohydrates, Fats, Vitamins","Proteins"
"The process by which a substance absorbs moisture upon exposure to atmosphere is called?","Efflorescence, Dehydrogenation, Desalination","Deliquescence"
"In Aldehydes and Ketones, carbon of carbonyl group is ____________?","Unhybridised","sp hybridised"
"Fehling solution react with HCHO to form precipitate of _____________?","White colour, Yellow colour, Blue colour","Red colour"
"The typical reactions of aldehyde is _____________?","Electrophilic addition, Nucleophilic substitution, Nucleophilic elimination","Nucleophilic addition"
"Silver mirror is a test for ____________?","Thio alcohols, Amines, Ethers","Aldehydes"
"Dimethyl ketones are usually characterized through_____________?","Tollen’s reagent, Schiff’s test, Benedict’s reagent","Iodoform test"
"O3 reacts with CH2CH2 to form ozonide. On hydrolysis it forms","Ethylene oxide, Ethylene glycol, Ethyl alcohol","HCHO"
