question,wrong_choices,correct_answer
"The maximum margins can be set in MS Excel are ____________?","02 (Normal & Wide margins), 03 ( Normal, Wide & Narrow), Just one margin","04 (Normal, Wide, Narrow & Moderate"
"Which function allows to define names/text in formulas except the use of selection in MS Excel?","Create from Selection, Formulas Bar, Name Manager","Defined Names"
"How to split a single columns’ text into multiple columns?","Data>>Sort & Filter, Home>>Fill>>Justify, Home>>Editing>>Justify","Data>>Text to Columns"
"Which of the following is the common language for Artificial Intelligence?","Java, Lisp, None of these","Python"
"Who is known as the inventor of Artificial Intelligence?","Classic Babbage, Alan Turing, None of these","John McCarthy"
"The amount of data transmitted for a given amount of time is called:","Noise, Frequency, None of these","Bandwidth"
"All operating systems get their high memory initialized from:","RAM, ROM, CPU","BIOS"
"What is a group of cells called in Excel?","Workbook, Margin, None of these","Cell Range"
"In Excel, which is used to perform what if analysis?","Goal seek, Solver, Scenario Manager","All of above"
"The first page of document is ___________?","First page, Document, None of these","Cover Page"
"How are data organized in a spreadsheet ?","Lines and spaces, Layers and planes, Height and width","Rows and columns"
"Another name for a pre programmed formula in excel is ___________?","Cell, Graph, Range","Function"
"Format painter in PowerPoint?","To paint pretty pictures on your slides, To change the background color of your slides, To paint pretty pictures on background of slides","To copy formatting from one object or piece of text and then apply it elsewhere"
"Letters in Excel denote: ______________?","rows, numbers, reference","Columns"
"Short cut key ctrl + A use for __________?","To copy, To paste, None","To Select All Text"
"Select the correct shortcut key which is used to underline a written paragraph?","CTRL + T, CTRL + Z, CTRL + B","CTRL + U"
"What is the shortcut key for spelling to check in document ________ ?","F1, F2, F5","F7"
"How to use drop cap in MS word?","Go to the Bar > Insert tab, Both, None","Go to the Ribbon > Insert tab"
"Control unit of a digital computer is often called the ____________?","clock, main memory, all of them","nerve center"
"Which shortcut key is used to print a document?","Ctrl+M, Ctrl+N, None of these","Ctrl+P"
"A feature of MS Office that saves the document automatically after certain interval is called ____?","Save, Save As, None of the above","Auto save"
"What is gutter margin in Ms Word?","Margin that is added to the left margin when printing, Margin that is added to right margin when printing, Margin that is added to the outside of the page when printing","Margin that is added to the binding side of page when printing"
"How do you display current date and time in MS Excel ?","Date(), Year(), Time()","Now()"
"Which shortcut key is used to create chart in MS Excel?","F10, F12, None","F11"
"MS Excel is based on: _____________?","UNIX, DOS, OS/2","WINDOWS"
"Which file starts ms word?","Worexe, Word2003.exe, Msworexe","Winworexe"
"A computer program that translates one program instructions at a time into machine language is called a/an___________?","CPU, Compiler, Simulator","Interpreter"
"The keyboard Shortcut key to decrease font size by one point is _____?","Ctrl + Shift + <, Ctrl + Shift + v, Ctrl + Alt + >","CTRL + ["
