question,wrong_choices,correct_answer
Zaboor is revealed in ___________ language?,"A. Hebrew

C. Arabic
D. Farsi",B. Siriac
Surah Muzammil means ____________?,"A. Cover

C. In The Sky
D. Iron",B. Wrapped in Garments
Surah Ankaboot means ___________?,"A. Cat
B. Cockroach
C. Horse",D. Spider
The major part of Holy Quran is revealed at _________ time?,"A. Day

C. Both A & B
D. None of these",B. Night
Nemaz e taraweeh is?,"A. wajib
B. farz

D. None of them",C. sunnat
Prophet hazrat __________ (AS) known as Shaikh al Anbiya ?,"B. Essa (????? ??????)
C. Musa (????? ??????)
D. Haroon (????? ??????)",A. Noah (????? ??????)
Who is known as Adam-e-Sani?,"A. Hazrat Adam (A.S)
B. Hzarat Moosa (A.S)

D. Hazrat Ibbrahim (A.s)",C. Hazrat Nooh (A.S)
Doors of Hell are ____________?,"A. 05
B. 06

D. 08",C. 07
Jibrael came _________ times into the court of the Holy Prophet?,"A. 20000
B. 22000

D. 26000",C. 24000
_____________ died while standing with the support of a stick?,"B. Hazrat Musa A.S
C. Hazrat Haroon A.S
D. Hazrat Essa A.S",A. Hazrat Suleman A.S
When did incident of Karbala occur?,"B. 12 October 680
C. 14 October 680
D. 16 October 680",A. 10 October 680
How many Surah are with name of Prophets?,"A. 2
B. 3

D. 5",C. 6
Which of the following was the Teacher of Hazrat Musa (AS) ?,"A. Hazrat Ishaq (AS)
B. Hazrat Ibrahim(A.S)

D. Hazrat Yousaf (A.S)",C. HAZRAT KHIZAR (A.S)
In which Islamic Battle Angeles helped the Muslims?,"A. Uhad
B. 
C. Khyber
D. None",Badar
Who was called as kidnapper of the scholars?,"A. Haroon-ur- Rasheed
B. Abu-Jafar al-Mansoor

D. None of the above",C. Mahmood Ghaznavi
Hazrat  Adam (AS) is a word of______________language?,"B. Syriani
C. Persian
D. Arabic",A. Hebrew
Name the Ummul-Mumineen who have narrated about 2210 Hadith of the Prophet (pbuh)?,"A. Hazrat Hifsa ()

C. Hazrat Khadijah (Radi-Allahu Anha)
D. Hazrat Zainib (Radi-Allahu Anha)",B. Hazrat Aisha Siddiqa (Radi-Allahu Anha)
Who was the First Women “Hafiz e Quran” to memorize the Holy Quran?,"A. Umal Mumneen Hazrat Aysha (R.A)
B. Umal Mumneen Hazrat Zainab (R.A)

D. None of them",C. Umal Mumneen Hafsah bint-e-Umar (R.A)
In which Hajjri Ghazwa e Ohad was fought?,"A. 2 AH
B. 4 AH
C. 5 AH",D. 3 AH
When was the meat of donkey prohibited?,"A. Jang-e-Badar

C. Jang-e-Ahzab
D. Jang-e-Hunain",B. Jang-e-Khaibar
Hazrat Yousaf (AS) remained in the well for__________ days?,"B. 5 days
C. 7 days
D. 12 days",A. 3 days
How many years did it take for the complete revelation of the Quran?,"A. 12
B. 21

D. 22",C. 23
The Gap between first and second Wahi was __________months?,"A. 2 Years 1 month
B. 2 Years 3 months

D. none of the above",C. 2 Years 6 months
Hazrat Fatima (R.A) is known as____________?,"A. Khatoon e Jannat.
B. Khatoon e Mehshar.
C. Khatoon e Madina.",D. both A. and B.
The order of appearance of Surah Al-Kahf in the Holy Quran is___________?,"A. 16

C. 20
D. 37",B. 18
Hazrat Ali (R.A) wife was?,"A. Ruqayyah (R.A)

C. Umm Kulthum (R.A)
D. Hazrat Aisha (R.A)",B. Fatima-tul-Zahra (R.A)
The Pre-Islamic era is known as_________?,"A. Modern age

C. Golden age
D. none",B. Age of ignorance
_________ is known as “Saloos ul Quran”?,"B. Surah Kausar
C. Surah Nasar
D. Surah Fateha",A. Surah Ikhlas
Ghaseel ul Malaika is the title of____________?,"A. Hazrat Abu Talha (R.A)
B. Hazrat Abu Dahana (R.A)

D. Hazrat Saad (R.A)",C. Hazrat Hanzala (R.A)
Which Surah of the Quran has the name “Allah” in every single verse?,"A. Surah Muhammad [47]

C. Surah Al-Ikhlas [112]
D. Surah Al-Fatihah [1]",B. Surah Al-Mujadila [58]
Which prayer is not obligatory for women?,"A. Maghrib prayer
B. Isha prayer

D. Fajir prayer",C. Juma prayer
What was the original color of Hajr-e-Aswad?,"A. Black
B. Grey

D. Purple",C. White
The first Msjid (Mosque) that was built by the Holy Prophet (SAW) was_____________?,"A. Masjid-ul-Haram

C. Masjid-e-Aqsa
D. Masjid-e-Nabavi",B. Masjid e Quba
What is the punishment of drinking wines in Quran?,"A. 40 Lashes
B. 50 Lashes
C. 80 Lashes",D. None of these
"Hazrat Asma (RA), the daughter of Hazrat Abu Bakr (RA), got married to _________?","A. Hazrat Ubaidah (RA)
B. Hazrat Abdur Rehman (RA)

D. None of these",C. Hazrat Zubair Ibn al-Awam(RA)
The first complete Madani Surah is __________?,"A. Al-Nas
B. Al-Nisa
C. Aal-e-Imran",D. Al-Baqarah
___________was the hardest form of revelation?,"A. In form of Dreams
B. Behind the Curtain

D. None of these",C. Ringing Bells
The first poet of Islam is _______________?,"A. Hazrat Zaid bin Harith (RA)
B. Hazrat Ubaidullah (RA)

D. None of these",C. Hazrat Hasaan ibn e sabit (R.A)
_________ was an eloquent speaker?,"A. Hazrat Idrees (AS)
B. Hazrat Musa (AS)

D. Hazrat Ayub (AS)",C. Hazrat Haroon (AS)
Give the fundamental beliefs of Islam in the proper order ?,"A. Tauheed, Risalat, Alhami Kutub, Akhirat and Malaika

C. Tauheed, Alhami Kutub, Risalat, and Malaika
D. Tauheed, Milka,Risalat, Alhami Kutub and Akhirat","B. Tauheed, Risalat, Malaika, Alhami Kutub and Akhirat"
The Word “ALLAH” is mostly used in which Surah of the Holy Quran?,"A. Al-Imran
B. Al-Ahzab

D. Al-Muzamil",C. Al-Mujadalla
Treaty of Hudaybiyyah (??? ????????) took place in March 628____________.,"A. shaban 6 AH
B. RAJAB 6 AH

D. RAMAZAN 6 AH","C. Dhu al-Qi’dah, 6 AH"
The reward of which prayer is equal to the reward of Hajj or Umrah ?,"B. Namaz-e-Khasoof
C. Namaz-e-Janaza
D. Namaz-e-Istasqa",A. Namaz-i-Ishraq
Battle in which Holy prophet(PBUH) not participated is known as_____________?,"A. Sayee

C. Jaziya
D. Al-Fay",B. Sariyya
Which Prophet earned his living by making wallets?,"A. Hazrat Dawood (AS)
B. Hazrat Hood (AS)

D. Hazrat Yahya (AS)",C. Hazrat Suilaiman (AS)
At the time of the death of Prophet Muhammed (Sallallahu Alaihi Wasallam) how many Huffaz were there?,"B. 35
C. 52
D. 30",A. 22
How many times has the Qur’an emphasized on alms or charity?,"A. 140 times

C. 160 times
D. 170 times",B. 150 times
Who was the first person who counted the Aayath (verses) of the Qur’an?,"A. Hazart Fatma(RA)

C. Hazart Abu Bakar (RA)
D. Hazart Umer(RA)",B. Hazart Ayesha(RA)
In which year were the vowels inserted in the Qur’an?,"B. 42 Hijri
C. 41 Hijri
D. 40 Hijri",A. 43 Hijri
What according to the Qur’an is the root cause of the evil?,"A. Alcohol
B. Hypocrisy

D.Backbiting",C. Lying
What was the interval between the first and the second revelation of Holy Quran?,"B. 2 years and five months
C. 2 years and four months
D. 2 years and three months",A. 2 years and six months
In which Surah the process for doing the woozu is mentioned?,"B. Sura Esra
C. Sura Baqrah
D. Sura Mujadala",A. Sura Ma’edah
How many Surahs are in 30th Chapter (Parah) of Quran?,"B. 38
C. 39
D. 40",A. 37
In which sura the regulation for prisoner of war is mentioned?,"B. Sura Tauba
C. Sura Infall
D. Sure Naml",A. Sura Nesa.
How many Surahs names are with only one letter?,"B. 4
C. 5
D. 6",A. 3
In which Surah the story of Karoon is mentioned?,"B. Sura Maida
C. Sura Baraat
D. Sura Lael",A. Sura Qasas
In which Surah the name of Allah is repeated in every verse?,"B. Sura Lael
C. Sura Al- Haj
D. Sura Hamzah",A. Surah Mujadala
Who was last Commander in chief of Ghzwa-e-mautah?,"B. Abdur Rehman Bin Auf (R.A)
C. Abdullah Bin Rawaha(R.A)
D. None of above",A. Hazrat khalid bin waleed (R.A)
Zou-shadatian is title of ________________?,"B. Hazrat Huzaifa Bin Yaman(R.A)
C. Hazrat Ammar Bin Yasir (R.A)
D. Hazrat Ahmed Bin Hanbal(R.A)",A. Hazrat Khuzima Bin Sabit (R.A)
Ozza was the name of___________?,"B. Honour and respect
C. Name Of a tree
D. Name of snake",A. A specfic goddess of Quraish
What was made subservient to Hazrat Suliman (A.S)?,"A. Fire
B. Water

D. Clay",C. Wind
How many time the word ‘Quran’ is repeated in Quran?,"B. 75
C. 55
D. 65",A. 70
Name the battle which came to an end without result?,"A. Hunain

C. Ohad
D. Mota",B. Tabook
