question,wrong_choice,correct_answer
The current Chief Justice of Azad Jammu & Kashmir Supreme Court is?,"B. Justice Syed Manzoor Hussain Gilani
C. Justice Sardar Liaqat Hussain
D. None of these",A. Justice Raja Saeed Akram Khan
What was the primary stated reason for Pakistan’s airstrikes on Afghanistan in February–March 2026?,"A. Capturing TTP leaders hiding in Kabul

C. Retaliating for Afghan trade disruptions
D. Securing water rights from the Kabul River",B. Targeting militant camps linked to TTP and ISIS-K used to attack Pakistan
The Pakistan Super League’s eleventh season began on which date in 2026?,"A. March 10, 2026
B. March 18, 2026

D. March 31, 2026","C. March 26, 2026"
"Pakistan held its 5G spectrum auction on March 10, 2026, raising approximately how much money?","A. US$200 million
B. US$350 million

D. US$750 million",C. US$507 million
What was the primary purpose of the Islamabad quadrilateral meeting?,"A. To sign a new trade agreement among Muslim countries
B. To discuss climate change policy for the Middle East region

D. To establish a joint peacekeeping force for the Gulf",C. To consolidate regional backing for de-escalation and prepare for US-Iran talks
"Pakistan hosted a quadrilateral diplomatic meeting on March 29–30, 2026. Which four countries were part of this meeting?","A. Pakistan, China, Russia, Iran

C. Pakistan, UAE, Jordan, Qatar
D. Pakistan, USA, UK, France","B. Pakistan, Saudi Arabia, Turkiye, Egypt"
Which telecom operators purchased 5G spectrum in Pakistan’s March 2026 auction?,"A. Telenor, Jazz, and Ufone

C. Telenor, Zong, and Jazz
D. Ufone, Telenor, and Zong","B. Jazz, Zong, and Ufone"
Which Pakistani Defence Minister declared an ‘open war’ against Afghanistan in late February 2026?,"A. Asif Ali Zardari

C. Rana Sanaullah
D. Pervez Khattak",B. Khawaja Asif
"In late February 2026, Pakistan carried out airstrikes targeting militant camps in which Afghan provinces?","A. Helmand, Kandahar, and Uruzgan

C. Kunar, Nuristan, and Badakhshan
D. Kunduz, Baghlan, and Takhar","B. Nangarhar, Paktika, and Khost"
Who is the Current Director General of Federal Investigation Agency (DG FIA)?,"A. Abdul Khaliq Shaikh
B. Riffat Mukhtar Raja

D. None of these",C. Dr. Usman Anwar
Who is the Current IG of Punjab Police?,"A. Dr. Usman Anwar

C. Mohammad Aamir Zulfiqar
D. Rao Sardar Ali Khan",B. Rao Abdul Kareem
The __________ sector is the largest contributor to Pakistan’s GDP. It contributes around 58.6% to Pakistan’s GDP ?,"A. Agriculture

C. Industrial
D. Livestock",B. Services
Who is Pakistan Current Ambassador to United Nations in New York?,"A. Patras Bukhari
B. Munir Akram

D. Maleeha Lodhi",C. Asim Iftikhar Ahmad
"The Federal Cabinet, in its first meeting of the year on January 2, 2026, approved the suspension of local government polls in which territory?","A. Lahore
B. Karachi
C. Peshawar",D. Islamabad Capital Territory (ICT)
Reports in mid-January 2026 suggested a partnership between a Pakistani firm and which Trump-family linked crypto project?,"A. Truth Crypto

C. MAGA Coin
D. Liberty Blockchain",B. World Liberty Financial
Which international institution approved a $378.9 million loan for Pakistan’s Power Transmission System Modernization Project in January 2026?,"A. IMF
B. Asian Development Bank

D. Islamic Development Bank",C. World Bank
Who is the Current IG of National Highways and Motorway Police (NHMP) ?,"A. Riffat Mukhtar Raja
B. B.A. Nasir

D. None of these",C. Sultan Ahmad Choudhry
What was Pakistan’s Year-on-Year (YoY) CPI inflation rate for January 2026?,"A. 4.8%
B. 5.2%

D. 6.5%",C. 5.8%
"On 4th January 2026, Which Country Air Force Air Chief Marshal (ACM) visited Pakistan?","A. Britain

C. Australia
D. Somalia",B. Bangladesh
Who is the Current Leader of Opposition of Senate of Pakistan ?,"B. Raja Zafarul Haq
C. Yousuf Raza Gilani
D. None of these",A. Raja Nasir Abbas Jafri
Who is the Current Prime Minister of AZAD JAMMU AND KASHMIR?,"B. Chaudhry Anwar-ul-Haq
C. Sardar Tanveer Ilyas
D. Sardar Muhammad Yaqoob Khan",A. Raja Faisal Mumtaz Rathore
Who is the Current IG of Sindh Police?,"A. Ghulam Nabi Memon
B. Mushtaq Mehar

D. None of These",C. Javed Alam Odho
Who is the Current Minister of Law in Punjab?,"B. Khurram Shahzad Virk
C. Rana Sana Ullah Khan
D. None of These",A. Malik Sohaib Ahmed Bhert
Who is the Current Director General of the newly-established National Cyber Crime Investigation Agency (NCCIA)?,"A. Ahmed Ishaq Jahangir

C. Waqar-ud-Din Syed
D. None of These",B. Syed Khurram Ali
Who has been appointed as new Spokesperson for Ministry of Foreign Affairs?,"A. Shafqat Ali Khan

C. Ayesha Farooqi
D. None of these",B. Tahir Andrabi
