question,wrong_choices,correct_answer
"The current Chief Justice of Azad Jammu & Kashmir Supreme Court is?","Justice Syed Manzoor Hussain Gilani, Justice Sardar Liaqat Hussain, None of these","Justice Raja Saeed Akram Khan"
"What was the primary stated reason for Pakistan’s airstrikes on Afghanistan in February–March 2026?","Capturing TTP leaders hiding in Kabul, Retaliating for Afghan trade disruptions, Securing water rights from the Kabul River","Targeting militant camps linked to TTP and ISIS-K used to attack Pakistan"
"The Pakistan Super League’s eleventh season began on which date in 2026?","March 10, 2026, March 18, 2026, March 31, 2026","March 26, 2026"
"Pakistan held its 5G spectrum auction on March 10, 2026, raising approximately how much money?","US$200 million, US$350 million, US$750 million","US$507 million"
"What was the primary purpose of the Islamabad quadrilateral meeting?","To sign a new trade agreement among Muslim countries, To discuss climate change policy for the Middle East region, To establish a joint peacekeeping force for the Gulf","To consolidate regional backing for de-escalation and prepare for US-Iran talks"
"Pakistan hosted a quadrilateral diplomatic meeting on March 29–30, 2026. Which four countries were part of this meeting?","Pakistan, China, Russia, Iran, Pakistan, UAE, Jordan, Qatar, Pakistan, USA, UK, France","Pakistan, Saudi Arabia, Turkiye, Egypt"
"Which telecom operators purchased 5G spectrum in Pakistan’s March 2026 auction?","Telenor, Jazz, and Ufone, Telenor, Zong, and Jazz, Ufone, Telenor, and Zong","Jazz, Zong, and Ufone"
"Which Pakistani Defence Minister declared an ‘open war’ against Afghanistan in late February 2026?","Asif Ali Zardari, Rana Sanaullah, Pervez Khattak","Khawaja Asif"
"In late February 2026, Pakistan carried out airstrikes targeting militant camps in which Afghan provinces?","Helmand, Kandahar, and Uruzgan, Kunar, Nuristan, and Badakhshan, Kunduz, Baghlan, and Takhar","Nangarhar, Paktika, and Khost"
"Who is the Current Director General of Federal Investigation Agency (DG FIA)?","Abdul Khaliq Shaikh, Riffat Mukhtar Raja, None of these","Dr. Usman Anwar"
"Who is the Current IG of Punjab Police?","Dr. Usman Anwar, Mohammad Aamir Zulfiqar, Rao Sardar Ali Khan","Rao Abdul Kareem"
"The __________ sector is the largest contributor to Pakistan’s GDP. It contributes around 58.6% to Pakistan’s GDP ?","Agriculture, Industrial, Livestock","Services"
"Who is Pakistan Current Ambassador to United Nations in New York?","Patras Bukhari, Munir Akram, Maleeha Lodhi","Asim Iftikhar Ahmad"
"The Federal Cabinet, in its first meeting of the year on January 2, 2026, approved the suspension of local government polls in which territory?","Lahore, Karachi, Peshawar","Islamabad Capital Territory (ICT)"
"Reports in mid-January 2026 suggested a partnership between a Pakistani firm and which Trump-family linked crypto project?","Truth Crypto, MAGA Coin, Liberty Blockchain","World Liberty Financial"
"Which international institution approved a $378.9 million loan for Pakistan’s Power Transmission System Modernization Project in January 2026?","IMF, Asian Development Bank, Islamic Development Bank","World Bank"
"Who is the Current IG of National Highways and Motorway Police (NHMP) ?","Riffat Mukhtar Raja, Nasir, None of these","Sultan Ahmad Choudhry"
"What was Pakistan’s Year-on-Year (YoY) CPI inflation rate for January 2026?","4.8%, 5.2%, 6.5%","5.8%"
"On 4th January 2026, Which Country Air Force Air Chief Marshal (ACM) visited Pakistan?","Britain, Australia, Somalia","Bangladesh"
"Who is the Current Leader of Opposition of Senate of Pakistan ?","Raja Zafarul Haq, Yousuf Raza Gilani, None of these","Raja Nasir Abbas Jafri"
"Who is the Current Prime Minister of AZAD JAMMU AND KASHMIR?","Chaudhry Anwar-ul-Haq, Sardar Tanveer Ilyas, Sardar Muhammad Yaqoob Khan","Raja Faisal Mumtaz Rathore"
"Who is the Current IG of Sindh Police?","Ghulam Nabi Memon, Mushtaq Mehar, None of These","Javed Alam Odho"
"Who is the Current Minister of Law in Punjab?","Khurram Shahzad Virk, Rana Sana Ullah Khan, None of These","Malik Sohaib Ahmed Bhert"
"Who is the Current Director General of the newly-established National Cyber Crime Investigation Agency (NCCIA)?","Ahmed Ishaq Jahangir, Waqar-ud-Din Syed, None of These","Syed Khurram Ali"
"Who has been appointed as new Spokesperson for Ministry of Foreign Affairs?","Shafqat Ali Khan, Ayesha Farooqi, None of these","Tahir Andrabi"
"Who is the Current Chief Minister of KHYBER PAKHTUNKHWA?","Pervez Khattak, Ali Amin Gandapur, Mehmood Khan","Sohail Afridi"
"Which court of Pakistan has established the “Overseas Litigants Facilitation Cell (OLFC)”?","The Islamabad High Court, The Lahore High Court, The Sindh High Court","The Supreme Court"
"Foreign Minister and Deputy PM Ishaq Dar landed in Bangladesh on August 23, 2025 for a two-day official visit. It is the first visit by a Pakistani foreign minister to Bangladesh in ______ years.","5, 10, 15","13"
"When Pakistan launched the New Electronic Vehicles Policy 2025-30?","June 26, 2025, July 26, 2025, None of These","August 26, 2025"
"Which provincial government called in the army in six districts to assist civil authorities in rescue and relief operations as the province faced an unprecedented flood emergency?","Khyber Pakhtunkhwa, Sindh, Balochistan","Punjab"
"Foreign Minister Ishaq Dar recently visited Bangladesh in August 2025, first Pakistani to visit Bangladesh in 13 years. The last time ______ foreign minister paid an official visit to Dhaka in 2012.","Sartaj Aziz, Khurshid Mahmud Kasuri, Shah Mahmood Qureshi","Hina Rabbani Khar"
"The 2025 India-Pakistan Conflict was a brief armed Conflict that began on ___________?","22 April, 2025, 10 June, 2025, 14 July, 2025","7 May, 2025"
"The UK government removed Pakistan from its Air Safety List on ______________?","May 6, 2025, November 14 ,2024, None of these","July 16, 2025"
"Who is the Current Chief Justice of Islamabad high court?","Justice Iqbal Hameed ur Rahman, Justice Aamer Farooq, Justice Athar Minallah","Justice Sarfraz Ahmed Dogar"
"Who won the final of Shandur Festival 2025?","Team Gilgit, Team Ghizar, Team Laspur","Team Chitral"
"The ‘Power Smart’ app introduced by PM under the ‘Apna Meter Apni Reading’ initiative is designed to empower consumers by allowing them:","To share the bill reading on a specified date, To register complains about electricity bill, None of These","To take a photograph of their electricity meter on a specified date and upload it to the app"
"When PM Shehbaz Sharif launched the ‘Power Smart’ mobile app to empower citizens and promote transparency in electricity billing under the ‘Apna Meter, Apni Reading’ initiative?","June 29, 2022, June 29, 2023, June 29, 2024","June 29, 2025"
"Prime Minister Shehbaz Sharif on June 29, 2025, launched the __________ mobile app to empower citizens and promote transparency in electricity billing under the ‘Apna Meter, Apni Reading’ initiative.","Apna Meter, Bill Reading, None of These","Power Smart"
"How many innocent Civilians were brutally killed in Pahalgam Terror attack in Indian Occupied Kashmir .","16, 36, 46","26"
"What is the name of Military Operation Launched by Pakistan in response to alleged indian aggression , Particularly after the terrorist attack in Pahalgam ?","Rising Lion, True Promise 3, Al-Habib","Bunyan Al Marsoos"
"What does the word “Bunyan” mean in Arabic?","Garden, Wall of fire, Path","Building or structure"
"What does the word “Marsoos” mean in Arabic?","Broken into pieces, Melted with fire, Open and scattered","Cemented or firmly joined"
"In the Quran, “Bunyan al Marsoos” refers to:_____________?","A garden beneath which rivers flow, A shining star in the sky, A promise of victory for the believers","A solid structure firmly joined together"
"Why was the name “Bunyan al Marsoos” chosen for Pakistan’s military operation against India?","To symbolize mercy and forgiveness, To recall historical treaties with India, To honor ancient forts of the region","To highlight national unity and strong defense"
"Which verse of Surah Al-Saff contains the phrase “Bunyan al Marsoos”?","Verse 2, Verse 3, Verse 6","Verse 4"
"The phrase “Bunyan al Marsoos” appears in which Surah of the Holy Quran?","Surah Al-Baqarah, Surah Al-Anfal, Surah Al-Fath","Surah Al-Saff"
"Pakistan’s Prime Minister Shehbaz Sharif and Turkish President Erdogan meets in ___________ on 25 May 2025?","Pakistan, UAE, Malaysia","Istanbul"
"Who has been appointed as the Special Assistant to the Prime Minister on blockchain and cryptocurrency?","Asad Umar, Dr. Shamshad Akhtar, Shaza Fatima Khawaja","Bilal Bin Saqib"
"The interior ministry on May 24, 2025 has decided that Pakistanis deported for committing crimes overseas would be placed on which list for five years?","No Fly List, Exit Control List (ECL), None of These","Passport Control List (PCL)"
"Pakistan has launched its first ______, which is a real-time digital tool as part of the Power Sector Indigenization Plan (PSIP).","Equipment Manufacturing Dashboard, Power Digital Dashboard, None of These","Power Equipment Manufacturing Dashboard"
"The interior ministry on May 24, 2025, has decided that Pakistanis deported for committing crimes overseas would face travel bans for _________, and criminal cases.","Three Years, Seven Years, None of These","Five Years"
"Chief of Army Staff General Asim Munir has promoted to the rank of Field Marshal on which date?","17th May 2025, 18th May 2025, 19th May 2025","20th May 2025"
"What does Pakistan’s “Operation Bunyan al-Marsus” mean?","Operation Secure Borders, Operation Peace Mission, Operation Humanity","Operation Strong Fortress"
"Who is the current Chairperson of the Benazir Income Support Programme (BISP)? (as of early 2025)","Sania Nishtar, Shazia Marri, Hina Rabbani Khar","Rubina Khalid"
"Who is the Current head of newly established Crime Control Department in Punjab police?","B A Nasir, Tahir Rai, Liaqat Ali Malik","Sohail Zafar Chattha"
"Which new department has been created in Punjab Police to control crime?","Crime Task Force, Crime Investigation Unit, Rapid Response Force","Crime Control Department"
"When was the National Cyber Crimes Investigation Agency (NCCIA), established by the Government of Pakistan?","23 March 2024, 1 April 2024, 14 August 2024","3 May 2024"
"Who is the current IG of New Railways Police?","Inam Ghani, Rao Sardar Ali Khan, None of these","Muhammad Tahir Rai"
"In March 2025, which country completed the second of eight contracted submarines for Pakistan, enhancing their military relationship?","Russia​, United States​, France​","China​"
"Which satellite internet provider received a no-objection certificate (NOC) to launch its services in Pakistan in March 2025?","OneWeb​, Amazon’s Kuiper​, HughesNet​","Starlink​"
