question,wrong_choices,correct_answer
"What is the largest type of shark?","Hammerhead Shark, Tiger Shark, Bull Shark","Great White Shark"
"Which famous scientist formulated the laws of motion and universal gravitation?","Galileo Galilei, Albert Einstein, Nikola Tesla","Isaac Newton"
"Which planet is known for its beautiful rings?","Mars, Jupiter, Uranus","Saturn"
"Pedology is study of ___________?","Birds, Languages, None of these","Soils"
"Which gas is most commonly used in neon signs?","Argon, Krypton, Xenon","Neon"
"Which vitamin is primarily produced in the skin in response to sunlight?","Vitamin A, Vitamin C, Vitamin K","Vitamin D"
"The waves which are used for line of sight (LOS) communication are called:","Cable waves, Antenna waves, None of these","Space waves"
"In the structure of fiber, the light is guided through the core due to total internal:","Refraction, Diffraction, None of these","Reflection"
"Global winds towards western direction are known as:","Western winds, Reynolds wind, None of these","Trade winds"
"Which of the following source of energy is caused by uneven heating of earth’s surface?","Solar, Biomass, None of these","Wind"
"Most major Tsunamis are produced by earthquakes with hypocenters less than:","30 km, 50 km, None of these","40 km"
"Blue dwarfs’ and ‘Red giants’ respectively refer to:","Moons of Jupiter, Young star and Old star, None of these","Old star and Young star"
"Which of the following is a neutral particle ?","Alpha particle, Electron, Proton E. All of these","Neutron"
"Which of the following is a focus area of bacteriology?","Study of viruses, Study of fungi, Study of parasites","Structure, genetics, and ecology of bacteria"
"What is the study of bacteria called?","Virology, Mycology, Parasitology","Bacteriology"
"A chronometer meter measures __________ ?","Water waves, Color contrast, Sound waves","Time"
"Mars will be visible skimming south of which star in Gemini?","Castor, Sirius, Betelgeuse","Pollux"
"On ________ which date will the conjunction of Venus and Saturn occur?","January 20, January 23, January 24","January 22"
"Which of Saturn’s moons will be visible during this week, appearing brightest when west of Saturn?","Titan, Enceladus, Rhea","Iapetus"
"Pollination of flowers by birds is called:_________?","Aeverology, Ornithology, Polligramy","Ornithophily"
"What does HMPV stand for?","Human Mycoplasma Virus, Human Multipathogen Virus, Human Molecular Virus","Human Metapneumo virus"
"There are many different types of frozen water on Earth. Collectively, they are known as the: ___________?","Hydrosphere, Frigid Zone, Biosphere","Cryosphere"
"The blotting paper helps observe liquid by__________?","Surface Action, Viscosity, Boldness","Capillary Action"
"In the atmosphere, if the temperature is low then the pressure is _________?","High, Normal, All of these","Low"
"Nucleus of an atom was discovered by___________?","Goldstein, James Chadwick, J J Thomson","Rutherford"
"Primatology is the study of: _________?","Human Behavior, Animals and Plants, Forests","Primates"
"The molecular mass of Water molecule is __________?","16amu, 17amu, 20amu","18amu"
"Vertical columns in the periodic table of elements are called as__________?","Periods, Rows, Lanthanoids series","Groups"
"Paleontology is the study of: _____________?","Organic particles in the air, How bodily structures are put together in an organism, How living things interact with each other and their environment","Ancient Life and Fossils"
"Apple is rich in: ______________?","Fluorine, Calcium, Phosphorus","Iron"
"The Latin word of the name given to a human being Homo Sapiens, include the: __________?","Genus & Family, Family & Order, Genus & Class","Genus & Species"
"The Protein coat of virus is known as:","Plasmid, Capsule, Plastid","Capsid"
"Which one of the following is Voluntary Muscle?","Cardiac, Stomach, Vessels","Biceps"
"Hepatitis is caused by: ____________?","Protozoans, Algae, Fungi","Virus"
"The SI unit of charge is __________?","Ampere, Ohm, Volt","Coulomb"
"Dermatophagia is a ____ condition.","Physiological, Dermatological, Genital","Psychological"
"The largest artery in human body_______?","Subclavian artery, Brachial artery, None of these","Aorta"
"Deficiency of Vitamin __________ causes Sailors Disease in human?","Vitamin A, Vitamin K, Vitamin D","Vitamin C"
"Which of the following is the most stable element?","Uranium, Hydrogen, Oxygen","Lead"
"A device that converts mechanical energy into electric energy is called_______?","Motor., Transformer., Coil.","Generator."
"The blue colour of clear sky is due to_______________?","Reflection of light, Refraction of light, Diffraction of light","Dispersion of light"
"People living in high altitudes (like mountains) usually have a _________?","smaller number of Red Blood Cells, smaller number of White Blood Cells, larger number of White Blood Cells","larger number of Red Blood Cells"
"Copper is used in the production of___________?","Brick kilns, Children toys, Kitchen utilities","Electric wires"
"Element extracted from Sea water?","Beryllium, Aluminium, None of These","Magnesium"
"When water is filled in a bottle and is allowed to freeze, the bottle breaks because","Bottle contracts at freezing point, temperature outside the bottle is less than that inside the bottle., None of the above","Water expands on freezing"
"A tight-rope walker carries a long pole which he holds across his body. The purpose of this pole is to__________?","Prop him up if he falls, Spread out his weight and reduce the pressure on the rope, Add extra weight to keep the rope tightly stretched","To keep the Center of gravity always above vertically above the rope"
"The sky appears blue because the earth’s atmosphere __________?","Reflects blue light, Transmits blue light, Has actual blue cover","Scatters blue light"
"The property by virtue of which metals can be beaten into thin sheets is known as?","Ductility, Conductivity, Density","Malleability"
"Steering of a car involves?","A single force, Two forces acting in the same direction, Two forces acting along different lines and in opposite direction.","A pair of forces acting along the same line and in opposite direction"
"The approximate intensity level of the sound which can cause damage to the ear drum is?","20 dB, 60 dB, 160 dB","100 dB"
"Which one of the following is the main culprit in the thinning of Ozone layer in the earth’s stratosphere?","Carbon dioxide, Nitrogen oxides, Methane","Chlorofluorocarbons"
"Fuse wire is made of_____________?","63% lead and 37% tin, 63% tin and 37% aluminum, 63% lead and 37% aluminum","63% tin and 37% lead"
"What is the smallest unit of heredity?","Chromosomes, Nucleotides, none","Gene"
"The shape of the external ear is due to____________?","Fibrocartilage, Articular cartilage, none","Elastic cartilage"
"When a patient’s immune system becomes reactive to a drug, this is an example of?","Super infection, Drug resistance, none","Allergy"
"Which of these is not a region of the spinal cord?","Thoracic, Lumbar, none","Pelvic"
"The autonomic nervous system innervates all of these except?","Cardiac muscles, Smooth muscles, none","Skeletal muscles"
"The damage to the_________nerve could result in the defect of the eye movement:","Optic, Trigeminal, none","Abducens"
"Serum if blood plasma minus its?","Calcium ions, Globulins, none","Clotting proteins"
"Which of the following is not an enzyme?","Chemotrypsin, Pepsin, none","Secretin"
"It is impossible for a type of O+ baby to have a type of____________mother:","O-, O+, none","AB-"
"The number of electrons of a neutral atom is automatically known if one knows the?","Atomic weight, Number of orbitals, none","Atomic number"
"An area of microbiology that is concerned with the occurence of disease in human population is?","Immunology, Paracitology, none","Epidemiology"
"It is a secondary plant nutrient?","Nitrogen, Phosphorus, none","Sulphur"
"Vacuum tubes have been replaced by__________?","Conductors, Diodes, None of these","Transistors"
"Geiger-Muller counter is used to detect__________?","Neutrons, Photons, none","Protons"
"The severity of 2005 earthquake in Pakistan on Richter scale was ?","6.9, 7.1, none","7.6"
"The unit to measure the quantity of Ozone in atmosphere is?","Dalton, Cuolomb, none","Dobson"
"The Beta particles are fast moving___________?","Protons, Neutrons, None","Electrons"
"One of the following countries produces maximum energy from atomic reactors?","France, UK, none","USA"
"The alpha particles are compact clusters of______________?","Electron and Proton, Three protons and three Neutrons, None","Two Protons and two Neutrons"
"Atom is made up of____________different kinds of subatomic particles:","Two, Four, None","Three"
"He was the first scientist to prove that Planets move around the sun?","Archimedes, John Kepler, None","Galileo Galilei"
"Phosphorus is an essential component of one of the following biological molecules:","Amino acids, Carbohydrates, None","Nucleic acids"
"One of these scientists formulated basic laws of Geometry?","Archimedes, Aristotle, None","Pythagorus"
"The earth’s ___________ is divided into 15 major plates of various sizes","Mesosphere, Stratosphere, None","Lithosphere"
"UV light falls in the category of___________?","Ionizing Radiations, Visible light, None","Non Ionizing Radiation"
"Basha Dam is to be constructed on___________?","River Sutlaj, River Jhelum, River Chenab (On Indus River in Gilgit-Baltistan)","None"
"Anti Diuretic hormone is secreted by one of the following glands?","Pancreas, Thyroid, None","Pituitary"
"Equator passes through one of these countries___________?","Saudi Arabia, Italy, Japan","None"
"One of the following is a water soluble vitamin?","Vitamin A, Vitamin D, Vitamin K","None"
"Deuterium differs from Hydrogen in having:","Different atomic number but same atomic weight, Different atomic number and different atomic weight, None","Same atomic number and different atomic weight"
"Which month of calendar year can lack a new moon?","December, May, None","February"
"The chemical name of quartz is:","Stannous Oxide, Aluminium Oxide, None","Silicon Dioxide"
