question,wrong_choices,correct_answer
"Which is known as “City of Rice” ?","Faisalabad, Muzafar Garh, Multan","Hafizabad"
"At the time of Independence, there were 2 sugar mills in Pakistan. How many sugar mills are in Pakistan now?","80, 84, 81","89"
"Who is the Current Director General of the newly-established National Cyber Crime Investigation Agency (NCCIA)?","Ahmed Ishaq Jahangir, Waqar-ud-Din Syed, None of These","Syed Khurram Ali"
"The Indus River originates in China, near:","Tianchi Lake, Tibetan Lake, None of these","Lake Manasarovar"
"Friendship Gate is located at _______________?","Tafitan Border, Zahidan Border, Chaman Border","Tokrkham Border"
"Pakistan Gate is the border between Pakistan and ____________?","Afghanistan, India, China","Iran"
"Old name of Lahore was ________________?","Cambell Pur, Lyall Pur, None of These","Lava-Pura"
"Old name of Sahiwal was ________________?","Pepri, Rowdayana, None of These","Montgomery"
"Old name of Hyderabad was _____________?","Salwan Kot, Shal Kot, None of These","Neroon Kot"
"Old name of Quetta was ____________?","Khan Garh, Kalanchi, None of These","Shal Kot"
"The Passport Control List (PCL) of Pakistan is commonly known as the ___________?","‘Grey List’, ‘Red List’, None of These","‘Black List’"
"What was the old name of Nawabshah?","Sakrand, Benazirabad, Shahdadkot","Nasrat"
"On which river Diamer Bhasha dam is being constructed?","Chenab, Jhelum, Ravi","Indus"
"Which is the first digital census held in Pakistan?","2017, 2020, 2022","2023"
"When was the National Cyber Crimes Investigation Agency (NCCIA), established by the Government of Pakistan?","23 March 2024, 1 April 2024, 14 August 2024","3 May 2024"
"The tomb of Hafeez Jalandhar is situated in __________?","Civil Secretariat, Badshahi Mosque, Shalamar Gardens","Iqbal Park"
"The aim of the Silk Handkerchief Movement was to achieve freedom of which country?","Afghanistan, Turkey, None of these","Subcontinent"
"The lower age limit for a candidate contesting Senate elections is:","35, 25, None of these","30"
"What is the range of the latest Shaheen-III missile?","3750 km, 1750 km, None of these","2750 km"
"When did Pakistan join SEATO?","1953, 1956, None of these","1954"
"Gwadar Port is operated by:","Gwadar Port Authority, Port of Singapore Authority, None of these","China Overseas Port Holding Company"
"Who is the author of “Pakistan: A Modern History”?","Anatol Lieven, Lawrence Ziring, None of these","Ian Talbot"
"What is the approximate area covered by Pakistan’s forests?","14%, 7%, None of these","5%"
"The Geneva Accords were signed on:","14 May, 1988, 14th June, 1988, None of these","14th April, 1988"
"Pakistan conducted its nuclear tests in Chaghi in:","1997, 1999, None of these","1998"
"Pakistan and Tajikistan are separated by:","Durand Line, Amu Darya, None of these","Wakhan Corridor"
"Objective Resolution was presented in the Constituent Assembly by Liaquat Ali Khan on:","February 7, 1949, April 7, 1949, None of these","March 7, 1949"
"The third Khilafat conference was held in 1921 in:","Dhaka, Istanbul, None of these","Karachi"
"A Free Trade Agreement between Pakistan and China was signed on:","24 October 2006, 24 December 2006, None of these","24 November 2006"
"What was the population of Pakistan at the time of independence in 1947?","70 million, 50 million, 60 million","None of these"
"Who was the first Governor of East Pakistan?","Noor ul Amin, K. Fazlul Haq, Chaudhry Khaliquzzaman","None of these"
"The second five-year plan in Pakistan was introduced in:","1957, 1958, None of these","1960"
"The Tashkent Agreement was signed on:","February 10, 1966, March 10, 1966, None of these","January 10, 1966"
"Which movement was launched by Mahatma Gandhi in 1942?","Civil Disobedience Movement, Non-Cooperation Movement, None of these","Quit India Movement"
"The first attack of Mehmud Ghaznvi on India was __________?","Battle of Panjgore, Battle of Panipat, Battle of Lahore","Battle of Peshawar"
"Who was governing the Multan city when Mehmud Ghaznvi conquered in 1006?","Raja Dahir, Raja Jaypal, Raja Anandpal","Abu-al-Fateh"
"How many times Mehmud Ghaznvi attacked on India?","15, 13, 29","17"
"What is the total length of Pakistan’s coastline?","758 km, 1058 km, 1258 km","None of these"
"Which article of Pakistan’s constitution talks about a clean environment?","Article 8A, Article 7A, None of these","Article 9A"
"Who was the First woman Governor of State Bank of Pakistan?","Noor Jahan, Farzana Raja, Dr Ashraf Abbasi","Dr Shamshad Akhter"
"What is the minimum age of voter required according to the 1973 constitution?","20, 17, 22","18"
"Khilafat movement was launched in the subcontinent in ___________?","1920, 1917, 1918","1919"
"Tehzib-ul-Akhlaq magazine was started in ______________?","1860, 1880, 1890","1871"
"The Geneva Pact was signed on April 14, 1988 between Pakistan and __________ ?","India, Bangladesh, none","Afghanistan"
"Pakistan successfully conducted its nuclear tests on 28 May of which year?","1997, 1999, 1995","1998"
"Kalabagh is located in which province?","Sindh, Khyber Pakhtunkhwa","Punjab"
"The total length of Pakistan coastline is _____________?","570 miles(917Km), 700 miles(1126Km), None of these","650 miles (1,046Km)"
"Pakistan officially joined the United Nations (UN) on ___________?","30 October 1947, 30 August 1947, 30 March 1948","30 September 1947"
"How many articles were there in the constitution of 1956?","200 Articles, 259 Articles, 254 Articles","234 Articles"
"The Length of Pakistan and Afghanistan border is __________?","2100 Km, 2352 Km, None of these","2611 Km"
"Pakistan began observing February 5 as the Kashmir Day to “reiterate solidarity with the people of Jammu and Kashmir” in ________?","1948, 2009, None of these","2004"
"Which kind of system of Government was introduced by the 1962 constitution?","Autonomous, Bicameral, Confederate","Presidential"
"Kashmir solidarity day observed for the first time in?","5 February 1988, 5 February 1971, 5 February 1965","5 February 1990"
"Islam was explicitly declared as the State religion of Pakistan under the constitution of ____________?","1958, 1962, Constituent Assembly","1973"
"Kashmir Day is observed in Pakistan on _____________?","1st May, 21st March, 6th June","5th February"
"A ceasefire came into effect in Siachen in __________?","2007, 2010, None of these","2003"
"When Pakistan signed the Baghdad pact, later called CENTO:","29 September 1955, 13 September 1955, 23 September 1956","23 September 1955"
"What is the Total Height of K-2 Peak ?","8210 meter, 8410 meter, 8511 meter","8611 meter"
"Which is the largest city of Pakistan?","Sukkar, Lahore, Hyderabad","Karachi"
"In Constitution of 1973 minimum age limit for President is held __________________?","35 years, 55 years, None of above","45 years"
"Who presided over the session of All India Muslim League at Allahabad in 1930?","Sir Agha Khan, Quad e Azam, Liaqat Ali Khan E. Choudry Rehmat Ali","Allama Iqbal"
"Which of the following was a major event that led to the creation of Pakistan in 1947?","The Indian National Movement, The Quit India Movement, The Bengal Partition (1905)","The Lahore Resolution (1940)"
"When did the Indian Constitution come into effect?","15th August 1947, 15th August 1950, 26th January 1947","26th January 1950"
"Mother of democracy in Pakistan is the title of __________?","Jahanara Shahnawaz, Begum Rana Liaqat Ali Khan, Begum Viqar-u-Nisa Noon","Begum Nusrat Bhutto"
"How many dry ports are in Pakistan ?","14, 16, 18","17"
"Under which article is the supreme command of the Armed Forces vested in the President of Pakistan?","Article 245, Article 244, Article 198","Article 243"
"Which famous political family is associated with Larkana?","Makhdoom Family, Khuhro Family, Talpur Family","Bhutto Family"
"When did Nusrat Bhutto, the wife of Zulfikar Ali Bhutto, passed away?","October 23, 2008, October 23, 2015, October 23, 2005","October 23, 2011"
"Which river flows near Moenjodaro and Larkana?","Jhelum, Chenab, Ravi","Indus"
"What is Larkana widely known as _________?","The City of Saints, The City of Gardens, The Land of Moenjodaro","The Eden of Sindh"
"In which year was the Nusrat Bhutto case decided?","1973, 1988, 1999","1977"
"What principle was established by the Supreme Court in Nusrat Bhutto case?","Doctrine of Basic Structure, Separation of Powers, Judicial Review","Doctrine of Necessity"
"Which institution’s actions were challenged in this Nusrat Bhutto case?","Judiciary, Parliament, Election Commission","Army"
"Under which Article of the Constitution of Pakistan was the petition in the Nusrat Bhutto case filed?","Article 199, Article 58(2)(b), Article 270","Article 184(3)"
"Who was the petitioner in the Nusrat Bhutto case?","Zulfikar Ali Bhutto, Benazir Bhutto, Fatima Jinnah","Nusrat Bhutto"
"Which article restricts the High Court from questioning actions of the Armed Forces under Article 245?","Article 244, Article 246, Article 243","Article 199"
"In which Olympic Games did Pakistan win its second hockey gold medal?","1964 Tokyo, 1972 Munich, 1984 Los Angeles","1968 Mexico City"
"Which popular bazaar in Lahore is famous for traditional items?","Raja Bazaar, Tariq Road, Empress Market","Anarkali Bazaar"
"Which river flow through Gilgit Baltistan?","Jhelum, Chenab, Ravi","Indus"
"What Is The National Tree of Pakistan?","Neem, Peepul, Sheesham","Deodar"
"Which is the national bird of Pakistan ?","Markhor, Parrot, Pigeon","Chakor"
"National Reptile of Pakistan is_________?","Rho fish, Indus dolphin, All of these","Mugger Crocodile"
"What is the title “Sain” associated with G.M. Syed’s name?","A royal title, A religious title, A political title","A term of respect in Sindhi culture"
"Sann, the birthplace of G.M. Syed, is located in which district of Sindh?","Dadu, Nawabshah, Thatta","Jamshoro"
"Which book by G.M. Syed focuses on the concept of an independent Sindhi state?","Religion and Reality, Shah Latif’s Message, A Nation in Chains","Sindhudesh"
"In which language was “Janam Guzarium Jin Sein” originally written?","Urdu, English, Persian","Sindhi"
"Which of the following books by G.M. Syed is a commentary on the poetry of Shah Abdul Latif Bhitai?","Religion and Reality, Struggle for New Sindh, Sindh Speaks","Shah Latif’s Message"
"“Jesa Maine Dekha” is a work by G.M. Syed written in which language?","Sindhi, English, Arabic","Urdu"
"On 1986, Which book by G.M. Syed discusses the relationship between religion and reality?","A Nation in Chains, Sindh Speaks, Dayar Dil Dastan-e-Muhabt","Religion and Reality"
"Who gave the title Rehbar-e-Sindh (Leader of Sindh) to Sain Ghulam Muhammad Syed?","Quaid-e-Azam Muhammad Ali Jinnah, Ghulam Ali Allana, Abdul Sattar Edhi","Mirza Qaleech Baig"
"Which city is called ‘Brasilia of Pakistan’ ?","Karachi, Lahore, Faisalabad","Islamabad"
"Which is the Oldest Medical University of Pakistan?","University of the Punjab, Lahore, University of Agriculture, Faisalabad, Sindh Madressatul Islam University, Karachi","King Edward Medical University, Lahore"
"Pishin is located in which provience of pakistan?","Punjab, Sindh, KPK","Balochistan"
"Who constructed Wazir Khan Mosque in Lahore?","Akbar, Humayun, Jahangir","Hakeem Ilam-ud-din Ansari"
"1st Woman anchor of PTV news was _____________?","Aliya Akram, Tehzeeb durrani, Maimoona Aftab","Kanwal Nasir"
"When Pakistan join Organization of Islamic Cooperation (OIC) ?","1995, 1975, 1970","1969"
"Rohtas Fort is located in which district of Punjab?","Rahim Yar Khan, Rawalpindi, Lahore","Jhelum"
"Which is the Oldest University of Pakistan?","University of Agriculture, Faisalabad, Sindh Madressatul Islam University, Karachi, None of These","University of the Punjab, Lahore"
"A total of __________ amendments to the constitution of 1973 have been passed by the Parliament?","21, 23, 25","26"
"The Eighteenth Amendment includes a total of ____ amendments, which have amended, substituted, added or deleted various provisions of the Constitution.","18, 41, 80","102"
"In 1949 who was appointed as the ‘Plebiscite Administrator’ by the UN Secretary General for the plebiscite in Jammu and Kashmir?","General Eisenhower, Richard Casey, James F. Byrnes","Fleet Admiral Chester Nimitz"
"In 1997, _______ was the first country to be certified free of dracunculiasis (Guineaworm disease) transmission.","China, France, Germany","Pakistan"
"Where is Holmstead Hall located?","Karachi, Lahore, Multan","Hyderabad"
"Who was the ‘Supreme Commander’ of both Indian and Pakistan armies after independence?","Gen. Frank Messervy, Lord Mountbatten, Gen. KM Cariappa","Field Marshal Claude Auchinleck"
"What is the national game of Pakistan?","Tennis, Cricket, Archery","hockey"
"Which country lately became member of SAARC?","Sri-Lanka, Bangladesh, Bhutan","Afghanistan"
"Who wrote the book ‘Ayub, Bhutto, and Zia’?","Atif Ali chuahan, Ayesha jalal, none of these","Sayad Shabbir Hussain"
"Muhammad Ayub Khuhro was appointed as chief minister of Sindh, for how many time?","One time, two times, None of These","Three time"
"When was the referendum on ‘the Islamisation policy of Gen Zia-ul-Haq, and to extend his presidential term by five years’ held?","December 19, 1982, December 19, 1986, December 19, 1987","December 19, 1984"
"When was a referendum on allowing Pervez Musharraf to continue as President for five years held in Pakistan?","April 30, 2001, April 30, 2003, April 30, 2004","April 30, 2002"
"What does PRA stand for in Pakistan?","Pakistan Revenue Authority, Public Revenue Authority, None of these","Punjab Revenue Authority"
"Which country did Pakistan beat in the final of the 1971 Hockey World Cup?","India, Italy, Australia","Spain"
"When was an indirect referendum ‘on confidence in President Muhammad Ayub Khan to remain president for another five years’ held?","February 14, 1959, February 14, 1961, February 14, 1962","February 14, 1960"
"Churna Island is located in which city of Pakistan?","Hyderabad, Thatta, None of these","Karachi"
"In which year Kashmir was annexed into Mughal Empire by Akbar?","1596, 1592, 1580","1586"
"When was the “All Jammu and Kashmir Muslim Conference” established?","June 1939, October 1936, June 1940","October 1932"
"When was the ‘first Anglo-Sikh’ war fought?","1809-10, 1820-21, 1857-58","1845-46"
"Mohmand Dam is located at which river?","Kabul, Indus, Panjkora","Swat"
"War of 1965 resulted in the signing of________?","Delhi Pact, Shimla Pact, Lahore Pact","Tashkent Pact"
"Tashkent Declaration was signed in 1966 by_______?","Z.A Bhutto & Lal Bahadur Shastri, ZA Bhutto & Indira Gandhi, Ayub Khan & Indira Gandhi","Ayub Khan & Lal Bahadur Shastri"
"After Failure in War of Independence 1857. Bahadur Shah Zafar exiled and prisioned to __________?","Kabul, Baghdad, None of These","Rangoon"
"The Indus Waters Treaty was signed in Karachi by_______?","Ayub Khan and Indira Gandhi, Z.A Bhutto and Indira Gandhi, Z.A Bhutto and Jawahalal Nehru","Ayub Khan and Jawaharlal Nehru"
"When Pakistan got first loan from USA?","1949, 1950, 1951","1952"
"In which year ojhri camp tragedy occurred?","10 June 1988, 10 May 1988, 10 August 1988","10 April 1988"
"Historical city of Sindh Mansura has remained capital of Sindh. It is located in _________?","Matiari, Hyderabad, Tharparkar","Sanghar"
"Hazrat Mian Muhammad Chaneeh (1127-1207 hijri) Ujjan, a renowned sufi was the founder of Dargah of Ujjan faqeers in: _________?","Matiari, Hyderabad, Naushahro Feroz","Khairpur"
"Multan Metro Bus Project Inaugurated by PM Nawaz Sharif on 24th January-2017 completed with cost of 28.88 Billions Rs. its route length is??","22.5 KM, 27 KM, 33.5 KM","18.5 KM"
"Name the Pakistan’s surface-to-surface ballistic missile, which is capable of delivering multiple warheads using Multiple Independent Re-entry Vehicle (MIRV) technology ?","Shaheen-II, Nasr, Ghauri","Ababeel"
"How many divisions are there in Sindh ?","9, 4, 3","6"
"Pakistan conducted a successful test of the “Ababeel” surface-to-surface ballistic missile on 24 January 2017, its range is___________?","450 KM, 750 KM, 1400 KM","2200 KM"
"After how many Years Pakistan’s win first ODI on Australian soil in jan 2017?","10 Years, 15 years, None of these","12 Years"
"The late Justice(R) Saeed U zaman Saddiqi Governor Sindh had served as the _________Chief Justice of Pakistan?","13th Chief Justice of Pakistan, 14th Chief Justice of Pakistan, 16th Chief Justice of Pakistan","15th Chief Justice of Pakistan"
"The Shortest-Serving Governor in Sindh’s History is?","Murad Ali Shah, Dr. Ishratul Ebad, Khursheed Shah","Justice(R) Saeed U zaman Saddiqi"
"Pakistan test fired its first submarine launched cruise missile Babur-III on 9 January 2017, has the range of___________ kilometres?","550 kilometres, 650 kilometres, 700 kilometres","450 kilometres"
"Islamic military coalition formed to combat terrorism is the alliance of ___________ Nations","38 nations, 39 Nations, 40 Nations","41 Nations"
"joint operations center to coordinate and support military operations of Saudi-led Islamic military alliance of 39 Nations against terrorism is located in ?","Jeddah, Medina, Dammam","Riyadh"
"Who becomes most experienced international umpire in cricket history in January 2017 ?","Rod Tucker, Sundaram Ravi, Marais Erasmus","Aleem Dar"
"Who has been appointed as a Chief of Saudi-led Islamic anti-terror alliance of 39 Nations in January 2017?","General (retd) Ashfaq Parvez Kayani, General (retd) Pervez Musharraf, General Qamar Javed Bajwa","General (retd) Raheel Sharif"
"Justice Mian Saqib Nisar took oath as Chief justice of Pakistan on __________?","25 December 2016, 1 January 2017, 15 January 2017","31 December 2016"
"Recently inaugurated Chashma- III nuclear power plant can generate___________ megawatts of electricity?","360 megawatts, 400 megawatts, 150 megawatts","340 megawatts"
"Pak-Jordan joint military exercise held in December-2016 near Attock, called?","Raadul Baraq, Ataturk-IX, Friendship-2016","Fajr-ul-Sharq 1"
"PM Nawaz has inaugurated 340 MW Chashma Nuclear Project-III in Mianwali on 28 December-2016 with the help of??","Turkey, Russia, Canada","China"
"What is the Name of the gate which is recently inaugurated in December 2016 at Pak Iran border in Taftan ?","Iran Gate, Friendship Gate, None of These","Pakistan Gate"
"How many regulatory bodies placed under the administrative control of the respective ministries concerned in December 2016 ?","3, 4, 7","5"
"Who becomes first Pakistani to win ICC Spirit of Cricket Award in December 2016?","Shahid Khan Afridi, Younas khan, Azhar Ali","Misbah-ul-Haq"
"The 10-rupee coin, recently issued by SBP, contains the picture of _____________?","Derawar Fort, Gwadar Port, Badshahi Mosque","Faisal Mosque"
"Who coined the name of the new capital of Pakistan, Islamabad, in 1959?","Ayub Khan, Fatima Jinnah, Justice Muhammad Shahabuddin","Qazi Abdur Rehman"
"What is the name of the “chaiwala” Who got famous from social media in 2016?","Kamal Khan, Irshad Khan, Rasheed Khan","Arshad Khan"
"Pakistan will conduct its ____________ Population cencus in 2017?","4th population census, 5th population census, 7th population census","6th population census"
"Pakistan’s sixth population census will be carried out in _____________?","February 2017, April 2017, May 2017","March 2017"
"USA have signed an agreement to provide Rs 8.5 billion to the WAPDA for the construction of?","Dia Mir Bahasha Dam Project, Kala Bagh Dam Project, Mirani Dam Project","Kurram Tangi Dam Project"
"Pm Nawaz Sharief has inaugurated N-85 Surab-Hoshab road 448 KM long on 14th December-2016 in?","G khan, Hassan Abdal, Raheem Yar khan","Turbat"
"Who is the First Pakistani female member of bomb disposal squad (BDU)?","Shazadi Gillani, Maryyam, None of these","Rafia Qaseem Baig"
"Name the special task force, which is established in December 2016 by Pakistan Navy to safeguard and protect the China-Pakistan Economic Corridor as well as Gwadar port?","Task Force 21, Task Force 44, Task Force 2","Task Force 88"
"According to a notification by the Ministry of Law and Justice, Who will be the next Chief Justice of Pakistan in 2017 ?","Justice Anwar Zaheer Jamali, Justice Asif Saeed Khan Khosa, Justice Amir Hani Muslim","Justice Mian Saqib Nisar"
"Name the University which Department to be rename as “Abdus Salam Center for Physics” Approved by Prime Minister Nawaz Sharif in December 2016?","Punjab University (Lahore), Gomal University (DI Khan), All of Above","Quaid-e-Azam University (Islamabad)"
"Name the International University which started Benazir Bhutto Leadership Program (BBLP) / international leadership course in December 2016?","University of Oxford, University of Cambridge, None of these","Harvard University"
