question,wrong_choices,correct_answer
"Synonym of Dank is ______________?","Broken, Hard, Demolished","Damp"
"What is the antonym of Generous?","Kind, Giving, Helpful","Stingy"
"Take the book ___________ the table.","In, Into, Out of","Off"
"Antonym of BLUSTER is: __________?","Bravado, Boast, Confidence","Meekness"
"Antonym of CAVEAT is: __________?","Guarantee, Warning, Disclaimer","Assurance"
"Antonym of BAROQUE is: __________?","Ornate, Classical, Rococo","Minimalist"
"Antonym of VELLEITY is: __________?","Aversion, Indifference, Apathy","Passion"
"Antonym of CORUSCATING is: __________?","Tenebrous, Sparkling, Brilliant","Mundane"
"Antonym of RHUBARB is: __________?","Serenity, Cacophony, Sweetness","Harmony"
"Antonym of KILTER is: __________?","Balance, Order, Harmony","Out-of-sync"
"Antonym of DILETTANTE is: __________?","Amateur, Novice, Enthusiast","Connoisseur"
"Antonym of CONFABULATION is: __________?","Fabrication, Distortion, Exaggeration","Verification"
"Antonym of PERSPICACITY is: __________?","Acumen, Astuteness, Intelligence","Naivety"
"Synonym of PROPINQUITY is: __________?","Distance, Remoteness, Isolation","Closeness"
"Synonym of CROMULENT is: __________?","Unacceptable, Questionable Dubious","Acceptable"
"Synonym of AMANUENSIS is: __________?","Secretary, Assistant, Clerk","Scribe"
"Synonym of DESIDERIUM is: __________?","Satisfaction, Fulfillment, Contentment","Craving"
"Synonym of FINAGLE is: __________?","Surrender, Manipulate, Cooperate","Wheedle"
"Synonym of MACADAMIZED is: __________?","Graveled, Mudded, Turfed","Paved"
"Synonym of SIBYLLINE is: __________?","Obvious, Transparent, Subtle","Enigmatic"
"Synonym of LEVITATE is: __________?","Sink, Plod, Wander","Float"
"Synonym of ACCUBATION is: __________?","Conversation, Ambulation, Occupation","Reclining"
"Synonym of the word FRABJOUS is: __________?","Surprising, Blithe, Gusto","Wonderful"
"Change the voice : You will be acknowledge by the Government.","Government was acknowledge you, Government is acknowledge you, None of these","Government will acknowledge you"
"The term Aqua means______?","Marsh, Alloy, None","Water"
"The idiom a hard nut to crack means:","An easy question, A foolish search, Expensive thing","A difficult problem"
"What is the phrasal meaning of carry-on?","To end doing something, To start doing something, None of these","To continue doing something"
"What is an antonym of the word ‘Profusion?","Abundance, Confusion, None of these","Scarcity"
"What is a word similar to scarcely?","certainly, completely, surely","barely"
"The Pros and Cons means:","Former and letter, Foul and Fair, For and against a thing","Good and evil"
"She is awaiting _______ result.","for, from, on","the"
"Call on means ______?","Doubtful, Prove a theory, Summon as a witness","Play a visit to someone"
"Honey : Bee ::","Sparrow : Nest, Sculptor : Statue, None of these","Sonnet : Poet"
"The idiom “Kick the bucket” means?","To kill, To achieve a goal, To be successful","To die"
"A bag of bones means: ____________?","a container use to carry bones., a person who has a lot of energy., a type of storage for old items.","an extremely thin person."
"Idiom To carry weight means: __________________?","to bewitch, to have importance, to stop permanently","to have trouble or grief"
"Idiom “A bag of bones” means","a difficult thing., comfortable., a big important person.","an extremely thin person."
"Idiom “A bed of roses” means:","an extremely thin person., a difficult thing., a big important person.","comfortable."
"Idiom “A bed of thorns” means:","comfortable., an extremely thin person., a big important person.","a difficult thing."
"Idiom “A beast of burden” means :","a wild animal used in the circus., a dangerous animal., a person who enjoys lifting weights.","a person or animal used for carrying heavy loads or does hard work."
"Idiom “A big gun” means:","an extremely thin person., a difficult thing., comfortable.","a big important person."
"Idiom “A bird of passage” means: ______________?","comfortable., an extremely thin person., a difficult thing.","a migratory bir"
"Idiom “A bird’s eye view” means:","A very detailed view of something., A view of something close up., A perspective from a person’s point of view.","A view from a high or elevated position."
"Idiom “A black sheep” means: ________________?","an extremely thin person., a difficult thing., comfortable.","person with bad reputation."
"Idiom “A blessing in disguise” means: __________?","A curse like a blessing., A situation where someone is tricked into thinking something good,, a blessing that is hidden from others.","a misfortune that results in something goo"
"Idiom “A blind alley ” means: ____________?","a street that leads to nowhere., A shortcut to success., place you can always find help.","a difficult situation with no solution or escape"
"Nafeesa is afraid ___________spiders?","from, in, about","of"
"Many species of insects were wiped _______ when the jungle was cleare","Away, On, Of","Out"
"My father was so poor _________?","That who could not buy us food, To he could not buy us food, None of These","That he could not buy us food"
"What is the synonym of Placate?","Rouse, Harass, None of the above","Pacify"
"Antonym of Sacrilegious is ________?","Impious, Profane, None","Pious"
"Idiom of ‘A pipe dream’ is ____________?","A day dream, A night dream, None","Unattainable dream"
"Antonym of Wrath is ____________?","Solace, Peace, None","Delight"
"Synonym of Feral is ______________?","Tame, Tamed, None","Wild"
"What is the meaning of gloss?","Dull, Smoothness, None","Brightness"
"Antonym of Laborious is ________?","Diligent, Frivolity, None","Lazy"
